name,Batting average,Strike Rate,Total Innings Batted,Boundary %,Batting Position,team
Alex Hales,42.4,147.22222222222223,6,0.6415094339622641,2,England
Jos Buttler,45,144.23076923076923,6,0.6133333333333333,1,England
Kusal Mendis,31.857142857142858,142.94871794871796,8,0.5739910313901345,2,Sri Lanka
Quinton de Kock,31,161.03896103896105,5,0.7580645161290323,2,South Africa
Rilee Rossouw,35.25,169.87951807228916,4,0.6382978723404256,3,South Africa
